            age,Hours_Studied,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Family_Income,School_Type,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score
19,Medium,No,6,89,High,Yes,Medium,Public,1,No,High School,Moderate,Male,63
15,Medium,Yes,5,72,High,Yes,High,Public,2,No,High School,Near,Male,62
15,High,Yes,8,77,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Male,69
19,Medium,No,5,52,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Male,66
22,Medium,Yes,8,75,High,Yes,Medium,Private,3,No,Postgraduate,Near,Male,68
25,High,Yes,6,71,Low,Yes,Low,Private,3,No,College,Far,Female,67
15,High,Yes,6,69,Low,Yes,Low,Private,4,No,College,Near,Female,65
29,Low,Yes,10,91,High,No,High,Public,3,No,College,Moderate,Male,70
18,Low,Yes,9,59,High,No,High,Private,1,No,High School,Moderate,Female,64
20,Low,Yes,7,59,High,Yes,Medium,Private,3,No,High School,Moderate,Male,65
16,Medium,No,5,76,High,Yes,Low,Private,2,No,Postgraduate,Far,Female,67
5,Medium,Yes,10,84,Medium,Yes,High,Private,4,No,Postgraduate,Moderate,Female,62
25,Medium,Yes,7,51,High,Yes,Low,Public,4,No,High School,Moderate,Male,66
24,High,Yes,7,77,Low,Yes,High,Public,2,No,College,Near,Female,68
18,Medium,No,8,65,High,Yes,Medium,Public,4,No,College,Moderate,Female,64
20,High,No,4,88,Medium,Yes,Low,Public,3,No,High School,Moderate,Male,69
23,Medium,Yes,6,73,Low,No,High,Private,2,No,High School,Near,Female,69
11,Medium,Yes,7,92,Medium,Yes,Medium,Public,5,No,High School,Moderate,Female,67
17,Medium,Yes,7,70,Low,Yes,Low,Public,3,Yes,College,Moderate,Male,61
25,High,Yes,5,91,Low,Yes,Medium,Public,4,Yes,Postgraduate,Moderate,Female,70
12,Low,Yes,7,86,Low,Yes,High,Public,4,No,College,Near,Female,65
22,Medium,Yes,7,91,Low,Yes,Low,Public,4,Yes,College,Moderate,Male,66
12,Low,Yes,10,91,Medium,Yes,Low,Public,3,No,Postgraduate,Near,Male,66
23,Medium,Yes,9,74,Medium,Yes,Medium,Public,3,No,High School,Moderate,Male,69
20,Medium,Yes,7,68,High,Yes,Medium,Public,1,No,High School,Near,Female,67
10,High,Yes,7,88,Medium,Yes,High,Private,2,No,Postgraduate,Near,Female,71
27,High,Yes,9,68,High,Yes,Low,Private,4,No,High School,Near,Male,68
16,Medium,No,7,54,High,No,Medium,Public,3,No,High School,Near,Female,67
15,High,No,5,93,Low,Yes,Low,Public,4,Yes,High School,Near,Female,63
21,Medium,No,10,70,Low,Yes,High,Private,2,No,College,Near,Female,64
27,High,Yes,6,57,Medium,Yes,Low,Public,3,No,College,Moderate,Male,73
14,Medium,Yes,10,82,High,Yes,Low,Private,3,No,High School,Moderate,Male,69
20,High,No,8,94,High,Yes,Medium,Public,3,No,High School,Near,Female,65
23,High,Yes,6,93,Medium,Yes,Medium,Private,5,No,Postgraduate,Near,Male,70
24,High,Yes,4,78,Low,Yes,Low,Public,2,No,High School,Near,Female,67
21,Medium,Yes,8,54,High,Yes,Low,Public,3,No,Postgraduate,Moderate,Female,67
18,Medium,Yes,5,85,Medium,Yes,Low,Public,3,No,High School,Near,Male,70
15,High,No,8,80,Low,No,High,Public,2,No,Postgraduate,Near,Female,69
21,High,No,10,61,High,Yes,Medium,Public,2,Yes,High School,Near,Male,68
14,Medium,No,5,95,High,Yes,Low,Public,3,Yes,College,Near,Male,66
2,Low,No,8,54,Low,Yes,Low,Public,4,No,,Near,Male,62
23,Medium,Yes,6,69,Low,Yes,High,Public,4,No,High School,Near,Male,67
25,Medium,Yes,9,55,High,Yes,Medium,Public,4,No,High School,Moderate,Male,71
6,High,Yes,7,96,Medium,Yes,Low,Public,2,No,High School,Moderate,Female,68
14,High,Yes,7,52,High,Yes,Low,Public,2,No,High School,Near,Female,66
24,Low,Yes,9,71,High,Yes,Low,Public,3,No,High School,Moderate,Male,64
32,High,Yes,8,93,Low,Yes,Low,Private,4,No,Postgraduate,Near,Female,71
20,Low,Yes,6,63,Medium,Yes,Medium,Public,4,No,College,Far,Male,61
16,Medium,No,10,55,Medium,No,Low,Public,2,No,College,Near,Male,67
19,Medium,Yes,5,56,Low,Yes,High,Public,4,No,College,Moderate,Female,65
28,High,Yes,7,70,Low,No,Low,Private,6,No,College,Moderate,Female,66
16,High,Yes,6,71,Medium,Yes,Low,Public,4,No,High School,Near,Female,68
15,Medium,No,5,86,Medium,Yes,Low,Public,2,No,College,Far,Male,66
17,Medium,No,5,62,Medium,Yes,Medium,Public,4,No,High School,Near,Female,63
14,Low,Yes,7,85,Low,Yes,High,Public,3,No,High School,Moderate,Female,66
21,Medium,No,8,100,Medium,Yes,High,Private,2,No,College,Near,Female,73
30,Medium,Yes,9,93,Medium,Yes,Low,Private,3,No,High School,Near,Male,88
22,Medium,No,9,82,High,Yes,Medium,Private,4,No,High School,Near,Male,67
18,High,Yes,7,97,Medium,Yes,Medium,Public,2,No,College,Near,Female,69
18,Medium,Yes,6,100,High,Yes,Low,Public,3,No,High School,Near,Female,67
11,Medium,Yes,9,79,Medium,Yes,Low,Public,2,No,High School,Near,Male,64
25,Medium,Yes,6,64,Medium,No,Low,Public,2,No,High School,Moderate,Male,64
20,Low,No,5,96,Low,Yes,Low,Public,2,No,High School,Near,Male,65
19,Medium,No,8,92,High,Yes,Medium,Public,2,No,High School,Near,Male,68
39,Medium,Yes,9,54,High,Yes,Medium,Private,3,No,High School,Moderate,Male,77
22,Medium,Yes,6,97,High,Yes,Low,Public,2,Yes,High School,Near,Male,63
15,High,Yes,10,68,Medium,Yes,High,Public,5,No,College,Near,Male,69
17,Medium,Yes,8,66,Medium,Yes,Medium,Public,2,No,College,Near,Male,69
27,Medium,No,8,67,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Male,70
21,High,Yes,6,66,High,Yes,Medium,Public,4,No,College,Near,Male,73
11,Medium,Yes,9,76,Medium,Yes,Medium,Public,3,No,Postgraduate,Far,Male,66
26,Medium,No,5,79,High,Yes,Low,Private,3,No,High School,Near,Female,71
16,Medium,Yes,6,71,Medium,Yes,High,Public,5,No,College,Near,Male,66
31,Medium,Yes,6,71,High,Yes,Low,Public,3,No,High School,Near,Female,71
26,Medium,Yes,5,87,Medium,Yes,High,Public,2,Yes,High School,Near,Male,66
17,Medium,Yes,8,50,High,Yes,Low,Public,4,No,High School,Near,Female,63
28,High,Yes,8,97,Medium,Yes,Low,Public,5,Yes,High School,Near,Male,70
20,High,Yes,8,86,Medium,Yes,Medium,Public,2,No,Postgraduate,Near,Male,66
25,Medium,No,7,85,Medium,Yes,Medium,Public,4,No,High School,Near,Male,66
23,Medium,No,8,71,High,Yes,Medium,Public,4,No,College,Moderate,Female,66
15,Medium,No,7,98,Medium,Yes,Medium,Public,3,No,High School,Near,Male,62
16,Medium,No,6,50,High,Yes,Medium,Public,3,No,College,Near,Male,69
26,Low,Yes,6,54,Low,Yes,Low,Private,1,No,Postgraduate,Moderate,Male,63
18,Medium,Yes,4,90,Low,Yes,High,Public,2,Yes,Postgraduate,Near,Female,68
18,Medium,No,9,87,Medium,Yes,Medium,Private,3,No,High School,Moderate,Male,64
14,Low,Yes,9,64,High,Yes,Low,Public,3,No,Postgraduate,Moderate,Male,69
23,Low,Yes,10,80,Low,Yes,Low,Public,3,No,High School,Near,Male,71
32,Medium,Yes,6,77,Medium,No,Medium,Private,4,No,High School,Near,Male,71
14,Medium,No,6,76,Medium,Yes,Low,Private,4,No,College,Far,Female,66
20,Medium,Yes,4,80,Low,Yes,High,Private,3,Yes,College,Moderate,Male,63
28,Low,Yes,8,100,Low,Yes,Medium,Public,2,No,High School,Far,Male,72
20,Medium,Yes,8,99,Low,No,Low,Private,3,No,College,Near,Female,70
23,Medium,No,9,99,Medium,Yes,High,Private,2,No,College,Near,Female,71
14,Low,Yes,6,77,Medium,Yes,High,Private,3,No,High School,Far,Male,65
23,Medium,Yes,8,66,Low,Yes,High,Public,4,No,Postgraduate,Near,Female,65
19,Low,No,6,78,High,Yes,Low,Public,2,No,High School,Far,Male,67
26,High,No,9,81,High,Yes,Medium,Public,3,No,High School,Near,Male,68
27,Medium,Yes,8,66,Medium,Yes,Medium,Public,4,No,College,Far,Female,70
36,Medium,Yes,5,82,Medium,Yes,Medium,Private,2,No,High School,Near,Female,70
23,Low,Yes,7,81,Low,Yes,Medium,Public,3,No,High School,Near,Male,72
22,Medium,No,4,95,Medium,Yes,Low,Public,5,No,College,Moderate,Male,65
21,Medium,Yes,5,62,High,Yes,Low,Public,3,No,High School,Near,Male,65
18,High,Yes,5,85,High,Yes,Medium,Private,4,No,Postgraduate,Near,Male,71
22,High,Yes,6,73,Low,Yes,High,Public,4,No,Postgraduate,Near,Male,74
18,Low,No,7,56,Low,Yes,Low,Private,4,No,High School,Moderate,Male,64
21,Medium,No,7,66,High,Yes,Medium,Private,4,No,High School,Far,Female,64
28,Medium,Yes,7,53,Low,Yes,Low,Private,3,No,High School,Near,Female,65
14,Low,Yes,7,66,Medium,Yes,Medium,Public,5,No,College,Near,Male,67
27,High,No,7,53,Low,Yes,Low,Public,3,No,College,Near,Male,73
28,Low,No,5,96,High,Yes,Medium,Public,3,No,College,Moderate,Male,72
19,Medium,No,7,55,Low,Yes,Medium,Public,3,No,College,Near,Male,65
7,Medium,No,9,91,Medium,Yes,Low,Public,4,No,College,Near,Male,67
16,Medium,Yes,7,95,Low,Yes,Medium,Public,3,No,High School,,Female,66
28,High,Yes,8,73,Low,Yes,Medium,Public,3,No,Postgraduate,Near,Male,70
20,High,No,8,53,Medium,Yes,Medium,Private,3,No,High School,Moderate,Female,66
14,High,Yes,8,80,Low,Yes,Medium,Public,1,No,High School,Near,Female,66
17,Medium,Yes,7,62,Low,Yes,High,Public,3,No,Postgraduate,Near,Male,68
25,Low,Yes,8,59,Low,Yes,Low,Public,4,No,College,Near,Male,68
23,High,No,8,78,Low,Yes,High,Public,4,No,High School,Moderate,Female,67
19,High,Yes,8,68,High,No,Low,Public,3,No,College,Near,Female,65
18,Medium,Yes,8,87,Medium,Yes,Low,Public,4,No,College,Near,Female,64
18,High,No,5,80,High,Yes,High,Public,2,No,College,Near,Male,70
14,Low,No,5,91,Medium,Yes,High,Public,3,No,College,Moderate,Male,63
30,Medium,No,6,53,Low,No,Low,Public,2,No,High School,Near,Male,65
18,Low,Yes,9,62,Medium,Yes,Medium,Public,2,Yes,Postgraduate,Near,Female,67
27,Medium,Yes,7,78,Low,Yes,Low,Private,5,No,High School,Near,Female,71
29,High,Yes,7,94,Medium,Yes,Low,Private,4,No,High School,Near,Female,73
26,Medium,No,4,91,Low,Yes,Low,Private,3,No,High School,Far,Male,67
17,High,Yes,7,84,Medium,Yes,Low,Private,3,No,College,Near,Female,72
22,Medium,No,7,79,High,Yes,Medium,Public,0,No,High School,Far,Male,71
20,Medium,Yes,4,82,High,Yes,Medium,Public,4,No,Postgraduate,Near,Male,72
15,High,Yes,7,61,Medium,Yes,Medium,Public,3,No,High School,Near,Male,68
22,Low,Yes,5,80,Medium,Yes,Low,Public,3,No,College,Near,Female,65
13,High,No,6,75,Low,Yes,Medium,Public,4,Yes,College,Far,Female,68
27,Medium,No,8,69,Medium,Yes,High,Public,4,No,College,Near,Male,67
17,Medium,No,7,94,High,Yes,High,Private,4,No,College,Moderate,Female,66
21,Medium,Yes,6,91,Medium,Yes,Medium,Private,1,Yes,High School,Near,Male,64
22,High,No,6,54,Medium,Yes,Low,Private,3,No,Postgraduate,Near,Male,65
18,Medium,No,6,99,Medium,Yes,Low,Public,3,No,High School,Moderate,Male,69
24,Medium,Yes,7,61,Medium,Yes,Medium,Public,2,No,High School,Far,Male,68
17,High,No,5,61,Medium,Yes,Medium,Public,4,No,Postgraduate,Near,Male,69
25,Medium,Yes,9,97,Low,Yes,High,Private,3,No,High School,Moderate,Male,70
12,High,No,5,72,Medium,Yes,High,Private,4,Yes,High School,Near,Female,65
21,Medium,No,4,90,Low,Yes,Medium,Public,3,No,High School,Near,Male,63
32,Low,Yes,8,64,Medium,Yes,Low,Private,3,No,College,Near,Female,71
14,Medium,Yes,6,94,Low,Yes,Low,Private,2,No,Postgraduate,Near,Male,68
16,Medium,Yes,7,92,High,Yes,Low,Public,3,No,Postgraduate,Near,Female,70
23,Medium,Yes,8,76,High,Yes,Medium,Public,3,No,High School,Near,Female,72
21,Medium,Yes,6,85,Medium,Yes,Low,Public,1,No,College,Far,Female,64
22,Low,No,7,98,Low,Yes,Low,Public,2,No,Postgraduate,Moderate,Male,64
23,Medium,Yes,8,73,High,Yes,High,Public,2,No,College,Near,Female,66
24,Medium,Yes,9,75,High,Yes,Medium,Public,3,No,College,Far,Male,69
27,Medium,No,6,86,Medium,Yes,Medium,Private,2,No,High School,Near,Female,71
22,Medium,Yes,6,69,High,Yes,High,Public,3,Yes,High School,Near,Male,69
19,High,No,8,98,Low,Yes,Low,Public,3,No,Postgraduate,Moderate,Male,67
24,Low,Yes,7,52,Medium,Yes,Low,Public,3,No,High School,Near,Male,66
31,Medium,No,7,70,Medium,Yes,Low,Public,2,No,High School,Moderate,Female,71
19,Medium,Yes,9,86,Low,Yes,High,Public,2,Yes,High School,Near,Male,63
14,Medium,No,4,71,Medium,Yes,High,Public,4,No,College,Near,Female,62
27,Medium,No,5,63,Medium,Yes,Medium,Public,4,No,High School,Near,Female,73
19,High,No,4,71,Low,Yes,Medium,Public,3,No,High School,Far,Female,66
7,High,Yes,9,94,Medium,Yes,High,Public,2,No,Postgraduate,Moderate,Male,72
25,High,Yes,8,77,Low,Yes,Low,Public,2,No,Postgraduate,Moderate,Female,67
17,Low,No,5,67,Medium,No,Medium,Public,3,No,Postgraduate,Near,Male,65
19,Medium,Yes,7,84,Medium,Yes,Medium,Public,4,No,High School,Near,Male,66
22,High,Yes,7,81,Low,Yes,Medium,Public,2,No,Postgraduate,Moderate,Female,68
21,Medium,Yes,4,78,Medium,Yes,Medium,Private,4,No,High School,Near,Female,69
24,High,Yes,7,70,Medium,Yes,High,Public,3,No,Postgraduate,Near,Female,68
17,Medium,Yes,5,54,Medium,Yes,Low,Public,2,No,High School,Moderate,Male,61
23,High,Yes,8,81,Medium,Yes,Medium,Private,2,No,High School,Near,Male,68
18,High,Yes,5,71,Low,Yes,High,Private,3,No,College,Near,Male,64
24,Medium,Yes,7,71,Low,No,Low,Public,3,No,College,Moderate,Male,67
24,Low,Yes,9,62,High,Yes,High,Public,3,No,High School,Moderate,Male,68
14,Medium,No,8,62,Low,Yes,Medium,Public,4,Yes,High School,Moderate,Male,61
27,High,No,8,89,Low,Yes,Low,Public,3,No,Postgraduate,Near,Female,66
17,High,Yes,7,74,Low,Yes,Medium,Public,2,No,Postgraduate,Near,Female,64
25,Low,No,5,55,Low,Yes,High,Public,3,No,High School,Moderate,Female,67
22,Medium,No,6,52,Low,Yes,High,Private,4,No,College,Moderate,Female,64
31,High,No,7,61,Low,Yes,Low,Public,3,No,High School,Near,Male,72
19,Medium,No,7,74,Low,Yes,High,Public,3,No,Postgraduate,Far,Male,62
18,High,Yes,5,81,Low,Yes,Low,Private,2,No,High School,Far,Female,63
20,High,No,8,57,Low,Yes,Low,Private,4,No,High School,Near,Male,70
18,High,No,5,72,Low,Yes,Medium,Public,3,No,College,Moderate,Male,69
25,Low,Yes,9,54,Medium,Yes,Medium,Public,2,No,High School,Near,Male,64
10,Low,No,7,52,Medium,Yes,Medium,Public,3,No,Postgraduate,Near,Male,66
14,Low,Yes,8,93,Medium,Yes,Low,Private,4,No,High School,Near,Female,67
14,High,Yes,8,83,Medium,Yes,Medium,Public,5,Yes,Postgraduate,Near,Female,71
26,Medium,Yes,10,89,Medium,Yes,Low,Private,1,No,High School,Far,Female,70
30,Low,No,7,59,Medium,Yes,Medium,Public,3,No,High School,Moderate,Male,69
19,Medium,No,6,66,High,Yes,Low,Public,3,No,,Moderate,Male,68
19,Medium,Yes,6,72,Medium,No,Low,Public,1,No,College,Near,Female,64
20,High,Yes,9,83,Low,Yes,Medium,Public,3,Yes,College,Near,Male,70
27,High,Yes,5,77,Medium,Yes,Medium,Private,3,No,Postgraduate,Near,Male,69
14,Medium,Yes,6,78,Medium,Yes,High,Public,2,No,College,Near,Female,63
21,Low,No,7,58,Medium,Yes,Medium,Public,3,No,High School,Near,Female,60
26,High,No,7,74,Medium,Yes,Low,Public,4,No,High School,Near,Female,65
23,Medium,No,8,91,Medium,Yes,Low,Public,0,No,High School,Near,Male,67
21,Medium,No,5,75,Low,Yes,Medium,Public,4,No,College,Near,Male,66
26,Low,No,7,60,Medium,No,Low,Public,3,No,Postgraduate,Near,Female,68
4,Low,Yes,7,71,High,Yes,Low,Public,1,No,Postgraduate,Near,Male,58
24,Low,Yes,5,88,Medium,Yes,Medium,Public,3,No,High School,Moderate,Female,67
16,Medium,Yes,8,57,Low,Yes,Medium,Public,4,Yes,,Near,Male,68
9,Medium,Yes,7,79,Medium,Yes,Low,Public,3,No,High School,Near,Female,62
23,Low,No,7,98,High,No,Low,Public,3,No,Postgraduate,Moderate,Female,69
28,Medium,Yes,6,69,High,Yes,Medium,Private,4,No,High School,Far,Male,73
19,High,No,6,52,Medium,Yes,Low,Public,4,Yes,High School,Moderate,Male,66
26,Low,Yes,5,82,Medium,Yes,Medium,Public,5,Yes,Postgraduate,Near,Female,67
30,Medium,No,8,52,Medium,Yes,Medium,Public,4,No,High School,Near,Female,71
28,Medium,Yes,9,60,Medium,Yes,Low,Public,2,No,High School,Far,Male,66
30,High,Yes,10,52,Medium,Yes,High,Public,4,No,College,Moderate,Female,74
24,Medium,No,8,59,Low,Yes,Low,Public,5,No,High School,Near,Male,67
20,High,No,6,93,High,Yes,Medium,Public,2,No,Postgraduate,Near,Male,68
10,Medium,No,6,87,High,Yes,Low,Public,3,No,High School,Near,Male,61
19,Medium,No,8,67,Medium,Yes,Medium,Private,2,No,High School,,Female,69
15,Low,Yes,7,95,Low,Yes,Low,Public,4,No,High School,Moderate,Male,65
33,Medium,Yes,7,83,Medium,Yes,Medium,Public,2,No,Postgraduate,Near,Male,71
19,Medium,No,7,72,Medium,Yes,Low,Public,2,No,High School,Far,Female,61
21,Medium,Yes,9,53,Medium,Yes,Low,Public,3,No,College,Near,Male,70
23,Medium,No,6,87,Medium,Yes,Medium,Private,3,No,High School,Moderate,Male,70
20,Medium,Yes,9,69,Low,Yes,Medium,Public,3,No,College,Near,Male,69
30,High,Yes,7,65,High,Yes,Low,Public,3,No,High School,Near,Female,70
16,High,Yes,6,64,Medium,Yes,Low,Public,4,Yes,College,Near,Male,67
21,Low,No,6,50,Low,Yes,Low,Public,4,No,Postgraduate,Moderate,Female,63
16,Medium,No,7,87,Medium,Yes,High,Public,3,No,High School,Near,Female,70
12,Medium,No,8,57,Medium,Yes,High,Private,5,Yes,High School,Near,Female,61
16,Low,Yes,6,76,Low,Yes,Low,Public,1,No,Postgraduate,Moderate,Female,64
20,Medium,Yes,8,51,High,Yes,Medium,Public,3,No,College,Near,Male,65
17,Medium,No,6,81,Medium,Yes,Medium,Public,1,No,College,Far,Male,65
16,Medium,Yes,7,68,High,Yes,Low,Private,3,No,Postgraduate,Far,Female,66
12,High,Yes,5,82,Low,Yes,Medium,Public,3,No,High School,Far,Female,66
20,Low,Yes,8,54,Medium,Yes,Medium,Public,2,No,Postgraduate,Near,Male,63
11,Low,Yes,7,63,Medium,Yes,Medium,Public,2,No,Postgraduate,Near,Male,66
25,Medium,Yes,9,56,High,Yes,Low,Public,1,No,High School,Far,Male,64
20,High,No,8,82,Medium,Yes,Low,Public,4,Yes,High School,Near,Male,65
11,High,No,7,55,Low,Yes,High,Private,1,No,Postgraduate,Near,Male,62
18,Low,Yes,9,81,High,Yes,High,Public,5,No,High School,Moderate,Male,71
15,Medium,Yes,8,57,Low,Yes,Low,Public,2,No,College,Near,Male,63
22,Medium,No,9,97,High,Yes,Medium,Public,3,No,College,Moderate,Male,70
28,Medium,Yes,6,71,Low,Yes,Low,Private,4,No,College,Moderate,Male,70
9,Medium,No,8,56,Medium,Yes,Medium,Public,3,No,College,Moderate,Female,65
21,High,Yes,8,52,Medium,Yes,Low,Public,3,Yes,High School,Near,Female,66
19,Medium,Yes,5,66,Medium,Yes,Medium,Private,4,No,College,Near,Female,66
24,Medium,No,9,95,High,Yes,Medium,Public,2,No,College,Near,Male,68
21,High,No,5,57,Medium,Yes,Low,Private,3,No,High School,Near,Male,68
15,High,Yes,5,90,Medium,Yes,Medium,Private,3,No,High School,Near,Female,69
18,Medium,Yes,4,71,Medium,Yes,High,Public,3,No,College,Near,Female,71
15,Medium,Yes,8,90,Low,Yes,Low,Private,1,No,Postgraduate,Near,Male,69
26,Medium,Yes,5,94,Medium,Yes,Medium,Public,2,No,College,Near,Male,68
20,Medium,Yes,6,100,Medium,Yes,Low,Public,5,No,High School,Moderate,Male,67
31,High,No,8,53,Medium,Yes,Low,Public,3,No,High School,Near,Male,72
20,High,Yes,7,90,High,Yes,Medium,Public,3,No,High School,Near,Male,68
16,High,Yes,6,53,Low,Yes,High,Public,4,Yes,High School,Moderate,Female,60
11,Medium,No,5,66,High,Yes,Low,Public,4,No,High School,Moderate,Male,68
9,High,Yes,7,82,High,Yes,High,Public,2,No,High School,Near,Female,65
10,Low,No,8,72,High,Yes,Low,Public,3,No,Postgraduate,Moderate,Female,67
22,Low,No,8,78,Low,Yes,High,Private,3,No,High School,Near,Female,70
23,Medium,Yes,10,98,High,Yes,Low,Private,3,No,High School,Near,Female,70
11,Medium,No,6,91,Low,Yes,Low,Public,2,No,College,Far,Female,61
25,High,Yes,5,68,Medium,Yes,High,Public,4,No,College,Far,Male,68
17,Medium,No,7,80,High,Yes,Low,Public,3,No,Postgraduate,Near,Female,67
21,Medium,No,7,52,Medium,Yes,Low,Public,3,Yes,High School,Moderate,Female,62
30,Medium,No,7,73,Medium,Yes,High,Public,4,No,High School,Moderate,Male,66
25,High,Yes,6,80,Medium,Yes,High,Public,2,No,High School,Far,Female,69
18,Medium,Yes,4,86,Medium,Yes,Medium,Public,4,No,College,Near,Female,66
15,Medium,Yes,5,95,Medium,Yes,High,Public,5,No,College,Near,Female,64
7,High,No,8,64,High,Yes,Low,Public,4,No,Postgraduate,Near,Male,66
16,Medium,No,7,95,Low,Yes,Medium,Public,5,Yes,High School,Near,Male,63
19,Low,Yes,8,83,Low,Yes,Medium,Private,3,No,High School,Near,Male,62
14,Medium,Yes,8,54,Low,Yes,High,Private,4,No,Postgraduate,Moderate,Male,65
19,Low,No,8,69,Low,Yes,High,Private,2,No,High School,Moderate,Male,68
20,High,Yes,8,74,Low,Yes,Low,Private,4,No,High School,Moderate,Male,65
19,Medium,Yes,7,68,Low,Yes,Low,Public,4,No,College,Near,Female,63
16,High,Yes,7,56,Medium,Yes,Medium,Public,2,No,High School,Near,Male,68
21,Medium,Yes,4,78,Low,Yes,High,Private,2,No,High School,Near,Male,72
23,High,No,6,57,Medium,Yes,Low,Private,3,No,High School,Near,Male,69
13,Low,No,6,96,Low,Yes,Low,Public,5,No,Postgraduate,Far,Male,66
28,Low,Yes,7,93,High,Yes,Low,Private,3,No,College,Near,Male,68
19,Low,No,6,74,Medium,Yes,Medium,Public,2,No,High School,Moderate,Male,64
20,Medium,Yes,8,53,Low,Yes,Low,Public,2,No,High School,Near,Male,61
24,Low,No,6,78,High,Yes,Low,Public,2,Yes,Postgraduate,Near,Male,67
21,Medium,Yes,9,80,Medium,Yes,Medium,Public,3,No,Postgraduate,Moderate,Male,68
26,Medium,No,6,94,High,Yes,Medium,Public,3,No,High School,Near,Male,74
22,Medium,Yes,6,53,Medium,Yes,Medium,Public,2,No,High School,Near,Female,67
16,Medium,Yes,6,85,Medium,Yes,Medium,Private,3,No,High School,Near,Male,64
22,Low,No,6,78,Medium,Yes,Medium,Public,3,No,High School,Moderate,Male,69
13,High,Yes,9,59,Medium,Yes,Low,Private,3,Yes,High School,Far,Female,63
21,Medium,No,7,56,Medium,Yes,Low,Private,4,No,High School,Moderate,Female,67
20,High,Yes,7,85,Medium,Yes,Medium,Public,3,No,College,Far,Male,65
19,Medium,Yes,6,67,Medium,Yes,Medium,Public,4,No,Postgraduate,Moderate,Female,67
19,High,No,7,100,Medium,Yes,Low,Private,5,No,Postgraduate,Moderate,Female,68
9,Medium,Yes,7,95,Medium,No,Low,Private,3,No,Postgraduate,Near,Male,62
17,High,Yes,7,78,Medium,Yes,Low,Public,3,No,College,Near,Female,70
21,Low,Yes,7,82,Medium,Yes,High,Public,3,No,High School,Near,Female,67
21,High,Yes,9,58,Medium,Yes,High,Public,5,No,High School,Moderate,Female,89
14,High,Yes,7,95,Low,Yes,Low,Private,2,Yes,High School,Near,Female,65
28,Low,Yes,5,73,Medium,No,Medium,Public,2,No,High School,Near,Female,69
15,Medium,No,7,76,High,Yes,Low,Public,4,No,High School,Far,Female,64
26,High,No,6,94,Medium,Yes,High,Private,4,No,High School,Near,Female,74
23,Medium,No,8,50,Medium,Yes,High,Public,2,No,High School,Far,Female,64
16,Low,No,7,75,Medium,Yes,Low,Public,2,No,Postgraduate,Moderate,Female,64
31,Medium,Yes,9,81,Medium,Yes,Medium,Private,2,No,College,Near,Male,67
13,Low,Yes,6,58,High,Yes,Medium,Public,4,No,College,Moderate,Male,63
26,High,Yes,7,53,Low,Yes,Medium,Private,5,No,High School,Moderate,Female,68
26,Low,Yes,5,77,Low,Yes,Medium,Public,5,No,Postgraduate,Near,Male,66
16,Low,Yes,7,77,High,Yes,Low,Public,3,Yes,High School,Moderate,Female,68
28,Medium,No,5,67,Medium,Yes,High,Private,1,No,Postgraduate,Moderate,Female,68
18,Medium,No,7,94,Medium,Yes,Low,Private,2,No,High School,Near,Female,69
22,High,No,7,65,Medium,Yes,Low,Public,3,No,Postgraduate,Near,Female,71
22,Low,Yes,7,76,Medium,Yes,High,Public,3,No,College,Near,Female,65
19,Low,Yes,8,59,Medium,Yes,Medium,Private,4,No,High School,Near,Male,67
25,Medium,No,7,51,Medium,Yes,High,Public,4,No,College,Near,Female,65
25,High,No,5,71,Medium,Yes,Low,Private,4,No,High School,Moderate,Male,65
10,Medium,No,6,76,Medium,Yes,High,Public,2,No,Postgraduate,Near,Male,80
28,Medium,Yes,7,88,High,Yes,Medium,Public,2,No,High School,Moderate,Male,74
10,Medium,No,7,72,Low,No,Medium,Public,3,No,High School,Near,Male,59
26,Medium,No,7,64,Low,Yes,High,Public,3,No,High School,Near,Male,69
27,Medium,Yes,9,80,Medium,Yes,High,Public,2,Yes,High School,Moderate,Male,66
13,Medium,Yes,7,69,Medium,Yes,Low,Public,2,Yes,Postgraduate,Moderate,Female,66
18,High,No,8,62,Medium,Yes,High,Public,4,No,High School,Near,Female,65
13,High,Yes,4,96,Low,Yes,Low,Public,3,Yes,College,Near,Male,67
19,High,No,8,77,Low,Yes,Low,Private,4,No,High School,Moderate,Male,69
18,Medium,Yes,10,60,High,Yes,Medium,Public,3,No,High School,Near,Female,68
25,Medium,Yes,9,84,Medium,Yes,Medium,Private,2,No,Postgraduate,Near,Female,73
28,Low,Yes,6,90,Medium,Yes,Low,Public,2,Yes,High School,Near,Female,71
28,High,Yes,10,88,Medium,Yes,Low,Public,2,Yes,Postgraduate,Moderate,Male,67
17,Medium,Yes,7,80,Low,Yes,High,Public,3,No,College,Near,Female,67
19,High,No,7,76,Medium,Yes,High,Public,2,No,Postgraduate,Near,Male,66
10,Medium,No,7,89,Medium,Yes,Medium,Public,4,No,College,Near,Female,63
15,High,No,7,85,Medium,No,High,Public,1,No,High School,Far,Male,65
26,Medium,Yes,4,79,Medium,Yes,High,Public,1,No,College,Near,Male,67
